anchor1	anchor2	alternative1	alternative2
彼はそんなことをしたはずがない。	彼はそんなことをしたはずがない。	私はその問題の解決法を見つけます。	私はその問題の解決法を見つけます。
叔父は私に親切な忠告をしてくれた。	おじは私に親切な注意をしてくれた。	彼は彼女の手荷物を列車へ運んだ。	彼は彼女の手荷物を列車へ運んだ。
急ぐ必要はなかったのに。	急ぐ必要はなかったのに。	ピーターに手伝ってもらいましょうか。	ピーターに手伝ってもらいましょうか。
とてもありえない災害である。	とてもあり得ない災害である。	彼は列車に間に合うように早く起きた。	彼は列車に遅れないように早く起きた。
持てば持つほど、欲しくなる。	持てば持つほど、欲しくなる。	彼は昔の彼とは違う。	彼は昔の彼とは違う。
私たちはいつも彼を軽蔑した。	私たちはいつも彼を馬鹿にした。	彼はそうする事に後ろめたさを感じなかった。	彼はそうする事に悪い事をしている気持ちがなかった。
テレビがつけられた。	テレビがつけられた。	忘れずにその手紙をポストに入れなさい。	忘れずにその手紙をポストに入れなさい。
あなたは彼と親戚ですか。	あなたは彼と家としてつながっていますか。	彼らは放課後野球をするつもりです。	彼らは学校が終わった後野球をするつもりです。
子供でもそれをすることができる。	子供でもそれをすることができる。	彼は確かに愚か者だ。	彼は確かに馬鹿者だ。
庭にはたくさんの花がある。	庭には多くの花がある。	彼は試験がよくできた。	彼は試験がよくできた。
私は１９９０年からここに住んでいる。	私は１９９０年からここに住んでいる。	私は考え直してみます。	私はもう１度考えてみます。
彼は飛び乗った。	彼は跳んで乗った。	無駄にした時間を取り戻したらどうなの。	無駄にした時間を取り戻したらどうなの。
母はそのニュースを聞いて驚いた。	母はそのニュースを聞いて驚いた。	この冬はとても寒くなりそうだ。	この冬はとても寒くなりそうだ。
今は、正直が、損をする時代です。	今は、正直が、よくない時代です。	彼は私達の隣に住んでいる。	彼は私らの横に住んでいる。
彼らは水死した。	彼らは水で死んだ。	父はまもなく元気になるだろう。	父は間もなく元気になるだろう。
ボートは川を下っていった。	船は川を下にいった。	あなたはいつでも歓迎されています。	あなたはいつでも喜んで迎えられています。
彼はたいへん年をとっていました。	彼はとても年をとっていました。	あなたの席とは思いませんでした。	あなたの席とは思いませんでした。
貴方達は、先生です。	あなたたちは、先生です。	私は彼女の話し方に聞き惚れてしまった。	私は彼女の話し方を聞いて美しいと思った。
